EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
4.997,8.532,3.033,3.899,6.383,8.054,5.862,4.158,-0.049,0.932,-0.427,-0.519,1.190,0.916,80.000,4984.000,1.000
9.564,11.909,2.328,5.097,12.567,14.642,12.232,8.122,-0.050,0.935,-0.430,-0.549,1.160,0.916,80.000,4985.000,1.000
10.730,13.367,3.043,6.270,18.000,19.562,18.826,13.029,-0.050,0.933,-0.432,-0.610,1.160,0.946,80.000,4986.000,1.000
10.757,13.733,7.162,8.167,19.303,18.959,20.320,15.774,-0.051,0.933,-0.430,-0.732,1.221,0.854,80.000,4987.000,1.000
13.003,13.396,10.948,8.899,15.275,12.837,14.032,12.816,-0.050,0.932,-0.430,-0.763,1.343,0.793,80.000,4988.000,1.000
16.978,14.041,9.808,7.573,11.727,9.573,8.707,8.020,-0.048,0.932,-0.428,-0.671,1.404,1.007,80.000,4989.000,1.000
19.989,17.192,7.225,7.271,13.833,14.034,11.466,7.639,-0.048,0.931,-0.426,-0.732,1.282,1.038,80.000,4990.000,1.000
19.648,19.685,8.684,9.290,17.264,18.678,15.858,10.487,-0.049,0.934,-0.427,-0.702,1.373,1.007,80.000,4991.000,1.000
16.350,18.330,12.155,10.796,16.801,17.270,15.247,12.301,-0.049,0.935,-0.427,-0.671,1.343,1.038,80.000,4992.000,1.000
12.923,15.370,11.613,9.033,14.701,14.344,12.756,11.927,-0.048,0.935,-0.426,-0.671,1.373,1.068,80.000,4993.000,1.000
11.261,14.064,7.075,5.266,14.761,15.457,13.377,10.642,-0.046,0.933,-0.426,-0.763,1.312,1.038,80.000,4994.000,1.000
11.977,14.729,5.283,4.310,17.190,20.083,17.930,11.167,-0.046,0.933,-0.426,-0.763,1.312,1.038,80.000,4995.000,0.000
14.277,16.254,9.172,7.876,20.164,24.544,23.478,14.375,-0.046,0.933,-0.426,-0.763,1.312,1.038,80.000,4996.000,0.000
15.375,16.886,14.283,11.848,21.096,25.232,25.284,16.919,-0.046,0.933,-0.426,-0.763,1.312,1.038,80.000,4997.000,0.000
14.203,15.357,16.370,12.640,18.636,21.368,21.724,15.918,-0.046,0.933,-0.426,-0.763,1.312,1.038,80.000,4998.000,0.000
13.043,13.462,14.829,10.947,15.745,17.654,17.770,13.365,-0.046,0.933,-0.426,-0.763,1.312,1.038,80.000,4999.000,0.000
13.277,13.944,11.864,9.488,16.423,19.146,18.909,13.015,-0.046,0.933,-0.426,-0.763,1.312,1.038,80.000,5000.000,0.000
13.595,15.595,11.546,10.154,18.897,22.674,22.418,14.770,-0.046,0.933,-0.426,-0.763,1.312,1.038,80.000,5001.000,0.000
13.038,15.166,14.482,11.935,18.311,21.566,21.760,15.278,-0.046,0.933,-0.426,-0.763,1.312,1.038,80.000,5002.000,0.000
12.428,13.211,15.840,12.140,15.321,17.382,17.875,13.615,-0.046,0.933,-0.426,-0.763,1.312,1.038,80.000,5003.000,0.000
12.388,12.881,13.366,10.648,14.713,16.914,17.134,12.530,-0.046,0.933,-0.426,-0.763,1.312,1.038,80.000,5004.000,0.000
